name,company,facility_types,city,state,country,lat,lon,capacity_kt,capacity_notes,products,markets,alloys,has_hot_mill,has_cold_mill,has_casthouse,has_recycling,num_potlines,port_adjacent,water_access,barge_access,rail_served,status,startup_year,employees,notes
Arconic Danville,Arconic Corporation,rolling_mill,Danville,IL,US,40.1245,-87.63,100,,"sheet, plate","aerospace, industrial",,False,True,False,False,,False,False,False,True,operating,,,Cold rolling and finishing operations.
Arconic Hutchinson Aerospace Center,Arconic Corporation,rolling_mill,Hutchinson,KS,US,38.0834,-97.8915,50,,"aerospace plate, sheet","aerospace, defense","2xxx, 7xxx",False,False,False,False,,False,False,False,True,operating,,,Aerospace-focused plate and sheet finishing center.
Constellium Muscle Shoals,Constellium SE,integrated_mill,Muscle Shoals,AL,US,34.7462,-87.6675,450,>1B lbs/yr finished coils; widest strip mill in US; 340kt recycling capacity,"can stock (body, end, tab), auto body sheet","packaging, automotive","3xxx, 5xxx, 6xxx",True,True,True,True,,False,False,False,True,operating,,1250,100+ acres under roof. 5 casting units. Widest strip mill in US. Element 13 recycling center processes 20B+ cans/yr. DoD $23M DPA grant for new DC casting center adding 136kt (300M lbs) annual casting capacity. $65M total expansion. Formerly Wise Metals/Wise Alloys.
Constellium Ravenswood,Constellium SE,integrated_mill,Ravenswood,WV,US,38.9487,-81.761,200,Major plate facility,"plate, sheet, coil","aerospace, defense, transportation, marine","2xxx, 5xxx, 6xxx, 7xxx",True,True,True,False,,False,True,True,True,operating,,1000,One of world's largest rolled products facilities. World's most powerful plate stretchers. Ohio River barge access. DOE $75M grant for low/zero-carbon casthouse using clean hydrogen. Major defense/aerospace plate supplier.
Constellium Bowling Green,Constellium SE,secondary_smelter,Bowling Green,KY,US,36.9685,-86.4808,50,,"automotive structural parts, crash management systems",automotive,6xxx,False,False,True,False,,False,False,False,True,operating,,,Automotive Structures & Industry division. Produces structural parts and crash management systems for OEMs.
Kaiser Warrick Rolling Mill,Kaiser Aluminum,integrated_mill,Newburgh,IN,US,37.944,-87.406,300,"Cast house, hot mill, cold mills, finishing/coating lines, slitters","can stock, food packaging coil","packaging (beverage, food)","3xxx, 5xxx",True,True,True,False,,False,True,False,True,operating,1960,,Acquired from Alcoa 2021. Co-located with Alcoa smelter which supplies molten metal. $150M roll coating line addition (operational 2024). Major can stock producer.
Kaiser Trentwood Rolling Mill,Kaiser Aluminum,rolling_mill,Spokane Valley,WA,US,47.6588,-117.3531,200,Plate and sheet for aerospace/general engineering,"plate, sheet, strip, coil","aerospace, defense, general engineering","2xxx, 5xxx, 6xxx, 7xxx",True,True,True,False,,False,False,False,True,operating,1942,,"Historic Kaiser aluminum plant. Major aerospace plate producer including KaiserSelect AA7099. Originally government war plant, purchased by Kaiser 1946."
JW Aluminum Russellville,JW Aluminum,rolling_mill,Russellville,AR,US,35.2784,-93.1338,100,,"sheet, coil, foil stock","building products, HVAC, industrial","1xxx, 3xxx",False,True,True,False,,False,False,False,True,operating,,,Continuous cast and cold rolling. Building products focus.
JW Aluminum Mount Holly,JW Aluminum,rolling_mill,Mount Holly,SC,US,35.2982,-81.0159,80,,"sheet, coil","building products, industrial","1xxx, 3xxx",False,True,True,False,,False,False,False,True,operating,,,Continuous cast sheet production for building products.
JW Aluminum St. Louis,JW Aluminum,rolling_mill,St. Louis,MO,US,38.627,-90.1994,60,,"foil, sheet","packaging, industrial","1xxx, 8xxx",False,True,False,False,,False,False,False,True,operating,,,Foil and light-gauge sheet production.
Golden Aluminum,Golden Aluminum Inc.,integrated_mill,Fort Lupton,CO,US,40.0847,-104.8133,120,,"can stock, sheet",packaging,"3xxx, 5xxx",True,True,True,True,,False,False,False,True,operating,,,Continuous cast can stock producer. DOE $22.3M grant to upgrade casting and rolling equipment. Scrap-based production.
Granges Huntingdon,Granges AB,rolling_mill,Huntingdon,TN,US,36.0006,-88.4284,80,,"clad sheet, brazing sheet, fin stock","HVAC, automotive heat exchangers","1xxx, 3xxx, 4xxx",False,True,True,False,,False,False,False,True,operating,,,Formerly Noranda rolled products. Acquired by Granges 2016. Specialty clad/brazing sheet for heat exchangers.
Granges Newport,Granges AB,rolling_mill,Newport,AR,US,35.6048,-91.2168,50,,"fin stock, clad sheet","HVAC, automotive","1xxx, 3xxx",False,True,False,False,,False,False,False,True,operating,,,Formerly Noranda. Thin-gauge rolling for HVAC applications.
Granges Salisbury,Granges AB,rolling_mill,Salisbury,NC,US,35.671,-80.4742,60,,"sheet, strip","HVAC, industrial","1xxx, 3xxx",False,True,False,False,,False,False,False,True,operating,,,Formerly Noranda. Strip and sheet products.
Tri-Arrows Aluminum Louisville,Tri-Arrows Aluminum Inc.,integrated_mill,Louisville,KY,US,38.2527,-85.7585,300,Major can stock producer,"can stock (body, end, tab)",packaging,"3xxx, 5xxx",True,True,True,True,,False,True,True,True,operating,,,Formerly ARCO Aluminum/IMCO Recycling. JV of Japanese interests. Ohio River barge access. Major UBC recycling and can stock production.
Aluminum Dynamics Columbus,Aluminum Dynamics LLC (Steel Dynamics),integrated_mill,Columbus,MS,US,33.4957,-88.4273,650,650kt finished products; SMS 1+4 HSM; $1.9B+ investment,"can stock, auto body sheet, common alloy sheet","packaging, automotive, industrial","3xxx, 5xxx, 6xxx",True,True,True,True,,False,True,True,True,construction,2025,700,"SDI's first aluminum mill. $1.9B+. Adjacent to SDI Columbus steel mill. SMS 1+4 hot strip mill, 2 tandem cold mills, CASH lines, coating. Tenn-Tom Waterway barge access. Class I railroad. 2 satellite UBC recycling/casting facilities (AZ and San Luis Potosi MX). Construction started Jul 2023; operations mid-2025."
Novelis Lewisport (formerly Aleris),American Industrial Partners,rolling_mill,Lewisport,KY,US,37.9369,-86.9021,120,,auto body sheet,automotive,"5xxx, 6xxx",False,True,True,False,,False,True,True,True,operating,,,"Formerly Aleris, acquired by Novelis 2020, then divested to American Industrial Partners per DOJ requirement. Ohio River access. Automotive body sheet."
Aleris Uhrichsville,Novelis (Hindalco),rolling_mill,Uhrichsville,OH,US,40.3903,-81.3468,80,,"sheet, plate","industrial, building products","3xxx, 5xxx",False,True,True,False,,False,False,False,True,operating,,,Continuous cast sheet producer. Industrial and building product focus.
Aleris Richmond,Novelis (Hindalco),rolling_mill,Richmond,VA,US,37.5407,-77.436,50,,sheet,"building products, industrial",,False,True,False,False,,False,False,False,True,operating,,,Formerly Aleris rolled products. Sheet finishing.
Commonwealth Rolled Products Lewisport,"Commonwealth Rolled Products (Lexington, KY)",rolling_mill,Lewisport,KY,US,37.938,-86.9,100,,"can stock, sheet","packaging, industrial","3xxx, 5xxx",True,True,True,False,,False,True,True,True,operating,,,Ohio River access. Can stock and common alloy sheet production.
Matalco Lordstown,Matalco Inc. (Giampaolo/Rio Tinto JV),billet_caster,Lordstown,OH,US,41.1658,-80.8673,159,350M lbs/yr; largest Matalco plant,"extrusion billet, forging stock","construction, automotive, industrial","6xxx, 7xxx",False,False,True,True,,False,False,False,True,operating,2016,,North America's largest independent billet remelter. Wagstaff Air-Slip casting. 75% scrap / 25% prime ratio. Triple M Metal scrap processing on-site. Billet 7-16 inch diameter.
Matalco Canton,Matalco Inc. (Giampaolo/Rio Tinto JV),billet_caster,Canton,OH,US,40.8059,-81.3784,82,180M lbs/yr,extrusion billet,"construction, industrial",6xxx,False,False,True,True,,False,False,False,True,operating,2010,,Acquired as Thakar Aluminum 2010. 7-12 inch billet. Upgraded systems 2011.
Matalco Bluffton,Matalco Inc. (Giampaolo/Rio Tinto JV),billet_caster,Bluffton,IN,US,40.7381,-85.1719,104,230M lbs/yr,"extrusion billet, forging stock","construction, automotive",6xxx,False,False,True,True,,False,False,False,True,operating,,,"95,000 sq ft facility. Scrap-based billet production."
Matalco Wisconsin Rapids,Matalco Inc. (Giampaolo/Rio Tinto JV),billet_caster,Wisconsin Rapids,WI,US,44.3836,-89.8171,109,240M lbs/yr; expandable,"extrusion billet, rolling ingot, RSI sows","construction, automotive, industrial","5xxx, 6xxx",False,False,True,True,,False,False,False,True,operating,2020,,"$80M greenfield. 110,000 sq ft. Started Nov 2020. Wagstaff ShurCast DC casting. Billet + rolling slab capability. Serves upper Midwest extruders."
Matalco Shelbyville,Matalco Inc. (Giampaolo/Rio Tinto JV),billet_caster,Shelbyville,KY,US,38.212,-85.2237,159,350M lbs/yr,"extrusion billet, forging stock","construction, automotive","3xxx, 5xxx, 6xxx",False,False,True,True,,False,False,False,True,operating,,,"140,000 sq ft. Acquired Ohio Valley Aluminum. 2 melting furnaces, 4 batch homogenization furnaces."
Matalco Franklin,Matalco Inc. (Giampaolo/Rio Tinto JV),billet_caster,Franklin,KY,US,36.7222,-86.5769,122,270M lbs/yr; $53.5M investment,"extrusion billet, rolling slab","construction, automotive",6xxx,False,False,True,True,,False,False,False,True,operating,2022,,"$53.5M greenfield. 461,000 sq ft. Matalco Kentucky LLC. Billet and slab from recycled aluminum."
Matalco Brampton,Matalco Inc. (Giampaolo/Rio Tinto JV),billet_caster,Brampton,ON,Canada,43.7315,-79.7624,113,250M lbs/yr; HQ facility,extrusion billet,"construction, industrial",6xxx,False,False,True,True,,False,False,False,True,operating,2005,,Matalco headquarters and original plant. Triple M Metal scrap processing adjacent.
Real Alloy Elyria,Real Alloy (Recycling Holdings International),secondary_smelter,Elyria,OH,US,41.3684,-82.1076,50,,"secondary alloy ingot, sow","automotive, industrial casting","A356, A380, secondary casting alloys",False,False,True,True,,False,False,False,True,operating,,,Major secondary smelter. Produces specification alloy ingot for die casters and foundries.
Real Alloy Rock Creek,Real Alloy,secondary_smelter,Rock Creek,OH,US,41.6598,-80.8559,40,,secondary alloy ingot,"automotive, industrial",,False,False,True,True,,False,False,False,True,operating,,,
Real Alloy Chicago Heights,Real Alloy,secondary_smelter,Chicago Heights,IL,US,41.5062,-87.6356,40,,secondary alloy ingot,"automotive, industrial",,False,False,True,True,,False,False,False,True,operating,,,
Real Alloy Wabash,Real Alloy,secondary_smelter,Wabash,IN,US,40.7978,-85.8205,35,,secondary alloy ingot,"automotive, industrial",,False,False,True,True,,False,False,False,True,operating,,,DOE $67.3M grant for low-waste recycling facility in Wabash.
Real Alloy Coldwater,Real Alloy,secondary_smelter,Coldwater,MI,US,41.9403,-85.0005,30,,secondary alloy ingot,automotive,,False,False,True,True,,False,False,False,True,operating,,,
Real Alloy Steele,Real Alloy,secondary_smelter,Steele,AL,US,33.9395,-86.2036,35,,secondary alloy ingot,automotive,,False,False,True,True,,False,False,False,True,operating,,,
Real Alloy Goodyear,Real Alloy,secondary_smelter,Goodyear,AZ,US,33.4353,-112.3585,30,,secondary alloy ingot,"automotive, industrial",,False,False,True,True,,False,False,False,True,operating,,,
Real Alloy Sapulpa,Real Alloy,secondary_smelter,Sapulpa,OK,US,35.9987,-96.1142,25,,secondary alloy ingot,industrial,,False,False,True,True,,False,False,False,True,operating,,,
Real Alloy Post Falls,Real Alloy,secondary_smelter,Post Falls,ID,US,47.7177,-116.9516,25,,secondary alloy ingot,industrial,,False,False,True,True,,False,False,False,True,operating,,,
Real Alloy Morgantown,Real Alloy,secondary_smelter,Morgantown,KY,US,37.2292,-86.6836,30,,secondary alloy ingot,"automotive, industrial",,False,False,True,True,,False,False,False,True,operating,,,
Real Alloy Loudon,Real Alloy,secondary_smelter,Loudon,TN,US,35.733,-84.3338,30,,secondary alloy ingot,automotive,,False,False,True,True,,False,False,False,True,operating,,,
Real Alloy Friendly,Real Alloy,secondary_smelter,Friendly,WV,US,39.5098,-81.061,25,,secondary alloy ingot,industrial,,False,False,True,True,,False,True,False,True,operating,,,
Spectro Alloys Rosemount,Spectro Alloys Corp.,secondary_smelter,Rosemount,MN,US,44.7369,-93.1258,80,Acquired by UAE's EGA affiliate Sep 2024 (110kt/yr),"secondary alloy ingot, sow","automotive, industrial",,False,False,True,True,,False,False,False,True,operating,,,Acquired by UAE-based aluminum producer (EGA affiliate) Sep 2024. 110kt/yr secondary production. Major Midwest secondary smelter.
Scepter Greeneville,Scepter Inc.,secondary_smelter,Greeneville,TN,US,36.1629,-82.831,40,,"secondary alloy ingot, sow","automotive die casting, foundry",,False,False,True,True,,False,False,False,True,operating,,,
Scepter Waverly,Scepter Inc.,secondary_smelter,Waverly,TN,US,36.0839,-87.7877,35,,secondary alloy ingot,automotive,,False,False,True,True,,False,False,False,True,operating,,,
Scepter Bicknell,Scepter Inc.,secondary_smelter,Bicknell,IN,US,38.7742,-87.3078,30,,secondary alloy ingot,industrial,,False,False,True,True,,False,False,False,True,operating,,,
Scepter Seneca Falls,Scepter Inc.,secondary_smelter,Seneca Falls,NY,US,42.9106,-76.7966,25,,secondary alloy ingot,industrial,,False,False,True,True,,False,False,False,True,operating,,,
Jupiter Aluminum Hammond,Jupiter Aluminum Corp.,secondary_smelter,Hammond,IN,US,41.5834,-87.5001,50,,"secondary alloy ingot, sow","automotive, industrial",,False,False,True,True,,False,False,False,True,operating,,,Major secondary smelter in NW Indiana industrial corridor.
Smelter Service Mount Pleasant,Smelter Service Corp.,secondary_smelter,Mount Pleasant,TN,US,35.5345,-87.2067,35,,secondary alloy ingot,"automotive, industrial",,False,False,True,True,,False,False,False,True,operating,,,
Pennex Aluminum Wellsville,Pennex Aluminum Co.,billet_caster|secondary_smelter,Wellsville,PA,US,40.053,-76.9412,40,,"extrusion billet, secondary ingot","construction, industrial",6xxx,False,False,True,True,,False,False,False,True,operating,,,Billet casting and secondary smelting. Serves East Coast extruders.
Owl's Head Alloys Bowling Green,Owl's Head Alloys Inc.,secondary_smelter,Bowling Green,KY,US,36.9685,-86.4388,30,,secondary alloy ingot,"automotive, industrial",,False,False,True,True,,False,False,False,True,operating,,,Expanding operations in Bowling Green.
Audubon Metals Henderson,Audubon Metals LLC,secondary_smelter,Henderson,KY,US,37.8362,-87.59,40,,"secondary alloy ingot, sow",automotive die casting,,False,False,True,True,,False,True,True,True,operating,,,Ohio River access. Produces specification alloys for automotive die casting.
Colonial Metals Columbia,Colonial Metals,secondary_smelter,Columbia,PA,US,40.0335,-76.5025,25,,secondary alloy ingot,industrial,,False,False,True,True,,False,False,False,True,operating,,,
Beck Aluminum Lebanon,Beck Aluminum Alloys (Real Alloy),secondary_smelter,Lebanon,PA,US,40.3409,-76.4114,20,,secondary alloy ingot,industrial,,False,False,True,True,,False,False,False,True,operating,,,Acquired by Real Alloy 2016.
Allied Metal Chicago,Allied Metal Co.,secondary_smelter,Chicago,IL,US,41.8354,-87.6517,30,,secondary alloy ingot,industrial,,False,False,True,True,,False,False,False,True,operating,,,
