previous_cargo,next_cargo,cleaning_requirement,risk_level,fgis_concern,chemical_wash_required,days_lost_estimate,notes
petcoke,fertilizer,heavy_alkaline_wash_freshwater_rinse,high,no,yes,2.5,"Full petcoke protocol. Verify HME status."
cement,grain,dry_sweep_portable_pump_freshwater_rinse,high,yes,no,2.0,"CRITICAL: DO NOT use bilge pump — portable salvage pump mandatory. Dry sweep first. 36-60 hrs."
cement,wheat,dry_sweep_portable_pump_freshwater_rinse,high,yes,no,2.0,"Same as cement-to-grain. Portable pump mandatory."
cement,corn,dry_sweep_portable_pump_freshwater_rinse,high,yes,no,2.0,"Same as cement-to-grain. Portable pump mandatory."
cement,soda_ash,dry_sweep_portable_pump_freshwater_only,very_high,no,no,3.0,"Hospital clean after cement. Dry sweep + portable pump + fresh water ONLY. No chemicals."
cement,fertilizer,dry_sweep_portable_pump_seawater_freshwater,medium,no,no,1.5,"Portable pump mandatory. Standard wash after cement."
cement_clinker,grain,dry_sweep_portable_pump_freshwater_rinse,high,yes,no,2.0,"Same precautions as cement. Clinker grinding into bilge = concrete clog. Portable pump mandatory."
sulphur,grain,seawater_freshwater_rinse_full_ppe,medium,yes,no,1.5,"PPE CRITICAL: sulphurous acid hazard. Thorough drying required. 24-48 hrs."
sulphur,wheat,seawater_freshwater_rinse_full_ppe,medium,yes,no,1.5,"Same as sulphur-to-grain. Full PPE."
sulphur,soda_ash,thorough_wash_freshwater_only_ppe,high,no,no,2.5,"Hospital clean after sulphur. Very high chemical contamination risk. Fresh water ONLY."
sulphur,fertilizer,seawater_freshwater_rinse_full_ppe,medium,no,no,1.5,"Standard protocol. PPE required throughout."
fertilizer,grain,seawater_freshwater_rinse,medium,yes,no,1.5,"Verify HME status for MARPOL wash water. Thorough fresh water rinse required. Check for ammonium nitrate grade."
fertilizer,wheat,seawater_freshwater_rinse,medium,yes,no,1.5,"Same as fertilizer-to-grain."
fertilizer,corn,seawater_freshwater_rinse,medium,yes,no,1.5,"Same as fertilizer-to-grain."
fertilizer,soda_ash,thorough_wash_freshwater_only,very_high,no,no,3.0,"Hospital clean after fertilizer. Very high contamination risk. HME-compliant wash water disposal mandatory."
alumina,grain,seawater_freshwater_rinse,medium,yes,no,1.5,"Fine white powder penetrates all crevices. Air blowing most effective where permitted. Thorough wash."
alumina,soda_ash,thorough_wash_freshwater_only,high,no,no,2.0,"Hospital clean required. No chemical agents — fresh water only."
fishmeal,grain,enzymatic_wash_freshwater_rinse,high,yes,yes,2.5,"Odor elimination primary challenge. Enzymatic cleaner mandatory. 48-72 hrs including ventilation."
fishmeal,wheat,enzymatic_wash_freshwater_rinse,high,yes,yes,2.5,"Same as fishmeal-to-grain."
fishmeal,soda_ash,enzymatic_wash_then_freshwater_only,very_high,no,yes,4.0,"Highest risk odor scenario. Shore gang likely required. Hospital clean after fishmeal is extreme."
steel_scrap,grain,seawater_freshwater_rinse,low,yes,no,1.0,"Sweep + standard wash. Check for scale and oil residue from scrap."
steel_products,grain,sweep_freshwater_rinse,low,yes,no,0.5,"Typically clean cargo. Standard sweep + rinse adequate."
ore_concentrates,grain,acid_descale_then_freshwater_rinse,medium,yes,yes,2.0,"Hardened mineral deposits may need acid descaler (phosphoric/citric). Neutralizer rinse after acid stage."
soda_ash,grain,seawater_freshwater_rinse,medium,yes,no,1.5,"Soda ash (sodium carbonate) residues. Thorough wash. Check for any coating damage from previous hospital-clean demands."
wood_pellets,grain,seawater_freshwater_rinse,low,yes,no,1.0,"Organic material. Check for insect infestation carefully. Standard wash protocol."
phosphate_rock,grain,seawater_freshwater_rinse,medium,yes,no,1.5,"Mineral dust. Standard wash. Verify HME status of phosphate residues for MARPOL compliance."
copper_concentrate,grain,dry_sweep_compressed_air_only,very_high,yes,no,3.0,"CRITICAL WARNING: DO NOT WASH with water. Forms concrete-like layer if wet. Compressed air blow-out + sweep only. (Source: Isbester Ch.5). Shore gang mandatory for removal of any hardened deposits."
copper_concentrate,any,dry_sweep_compressed_air_only,very_high,no,no,2.0,"DO NOT WASH with water — forms concrete layer on hold sides. Compressed air blow-out and sweep only. Abrasive disc grinding required if water contact occurred."
salt_sodium_chloride,grain,seawater_freshwater_rinse_limewash_if_needed,medium,yes,no,1.5,"Salt residues. Standard wash. If hold showing rust, apply limewash before next salt cargo (1 part Ca(OH)2 to 3 parts fresh water) to prevent discolouration."
coal_fine,grain,alkaline_chemical_wash_freshwater_rinse,very_high,yes,yes,3.0,"Fine coal (>75% particles <5mm): both Group A (liquefaction risk) and Group B (chemical hazard) per IMSBC. Extra aggressive cleaning — same protocol as coal to grain but allow extra time."
