Project Name,Commodity,In Service Date,Operator,Project Type,Stage,URL
CJ Express,Natural Gas,Q1 2021,Midcoast Energy,,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/cj-express
Coastal GasLink,Natural Gas,Q1 2023,TC Energy,New Build,Under Construction,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/coastal-gaslink
Comanche Trail,Natural Gas,Q1 2017,Energy Transfer,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/comanche-trail
Constitution,Natural Gas,Q3 2017,Williams,New Build,Cancelled,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/constitution
Continent to Coast (C2C) expansion,Natural Gas,Q4 2017,PNGTS,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/continent-coast-c2c-expansion
CP Express,Natural Gas,,Venture Global,New Build,Development,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/cp-express
Dalton expansion,Natural Gas,Q2 2017,Transco,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/dalton-expansion
DeLa Express,Natural Gas,,Moss Bluff Partners,,Announced,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/dela-express
Double E,Natural Gas,Q4 2021,Summit Midstream,,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/double-e
Driftwood,Natural Gas,Q4 2024,Tellurian,New Build,Development,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/driftwood
East Side Expansion,Natural Gas,Q4 2015,Columbia Pipeline Group/TC Energy,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/east-side-expansion
Empire North Expansion,Natural Gas,Q3 2020,Empire Pipeline Co,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/empire-north-expansion
Florida Southeast Connection,Natural Gas,Q4 2017,Florida Southeat Connection,,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/florida-southeast-connection
Gillis Lateral,Natural Gas,Q2 2021,Enterprise Products Partners,,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/gillis-lateral
Glen Karn Phase I,Natural Gas,Q4 2014,ANR Pipeline Company,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/glen-karn-phase-i
Glen Karn Phase II,Natural Gas,Q4 2014,ANR Pipeline Company,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/glen-karn-phase-ii
Golden Pass,Natural Gas,,Qatar Petroleum/ExxonMobil/ConocoPhillips,,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/golden-pass
Gulf Coast Express,Natural Gas,Q4 2019,Kinder Morgan,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/gulf-coast-express
Gulf Markets Expansion Phase II,Natural Gas,Q3 2017,Enbridge,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/gulf-markets-expansion-phase-ii
Gulf Run,Natural Gas,Q4 2023,Enable Midstream Partners,,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/gulf-run
Gulf Trace Expansion,Natural Gas,Q1 2017,Williams,,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/gulf-trace-expansion
Gulf Xpress,Natural Gas,Q1 2019,Columbia Pipeline Group/TC Energy,Combination,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/gulf-xpress
Haynesville Global Access Pipeline (HGAP),Natural Gas,Q4 2024,Tellurian,New Build,On Hold,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/haynesville-global-access-pipeline-hgap
Hugh Brinson,Natural Gas,Q4 2026,Energy Transfer,,Development,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/hugh-brinson
Leach Xpress,Natural Gas,Q4 2017,Columbia Pipeline Group/TC Energy,Reversal,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/leach-xpress
Lebanon Lateral 2014 Project,Natural Gas,Q1 2014,ANR Pipeline Company,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/lebanon-lateral-2014-project
Lebanon West II,Natural Gas,Q4 2016,Dominion Transmission,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/lebanon-west-ii
Leidy Southeast,Natural Gas,Q4 2015,Transco,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/leidy-southeast
Line N Westside expansion,Natural Gas,Q4 2015,National Fuel Gas,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/line-n-westside-expansion
Matterhorn Express,Natural Gas,Q4 2024,WhiteWater Midstream,,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/matterhorn-express
Mountain Valley,Natural Gas,Q4 2021,MVP,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/mountain-valley
Nexus Pipeline,Natural Gas,Q3 2018,NEXUS Gas Transmission,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/nexus-pipeline
NG3 Pipeline,Natural Gas,Q4 2025,Momentum Midstream,,Development,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/ng3-pipeline
NGPL- Gulf Coast Southbound Expansion Phase II,Natural Gas,Q2 2021,Kinder Morgan,Expansion,Development,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/ngpl-gulf-coast-southbound-expansion-phase-ii
NGPL- Gulf Coast Southbound Expansion Project,Natural Gas,Q4 2018,Kinder Morgan,Reversal,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/ngpl-gulf-coast-southbound-expansion-project
NGPL Texas Louisiana Expansion,Natural Gas,,Kinder Morgan,,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/ngpl-texas-louisiana-expansion
Northeast Energy Direct,Natural Gas,Q4 2018,Tennessee Gas,Combination,Cancelled,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/northeast-energy-direct
Northern Supply Access (TGT expansion),Natural Gas,Q2 2017,Texas Gas Transmission,Reversal,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/northern-supply-access-tgt-expansion
Nueva Era,Natural Gas,Q4 2017,Nueva Era,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/nueva-era
Ohio Valley Connector,Natural Gas,Q4 2016,EQT,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/ohio-valley-connector
Panhandle Reversal,Natural Gas,Q2 2017,Energy Transfer,Reversal,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/panhandle-reversal
Pecos Trail,Natural Gas,Q2 2021,NAmerico,New Build,On Hold,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/pecos-trail
Penn East,Natural Gas,Q1 2022,PennEast Pipeline,New Build,Cancelled,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/penn-east
Permian Global Access Pipeline (PGAP),Natural Gas,,Tellurian,,Cancelled,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/permian-global-access-pipeline-pgap
Permian Highway Pipeline,Natural Gas,Q4 2020,Kinder Morgan,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/permian-highway-pipeline
Port Arthur-Louisiana Connector,Natural Gas,Q2 2026,Sempra,,Development,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/port-arthur-louisiana-connector
Port Arthur-Texas Connector,Natural Gas,,Sempra,,Development,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/port-arthur-texas-connector
Prairie State,Natural Gas,Q4 2017,TallGrass Energy,New Build,Cancelled,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/prairie-state
REX- Zone 3 Capacity Enhancement,Natural Gas,Q3 2015,Rockies Express,Reversal,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/rex-zone-3-capacity-enhancement
Rio Bravo,Natural Gas,Q4 2026,Enbridge,New Build,Development,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/rio-bravo
Roadrunner Phase II,Natural Gas,Q4 2016,ONEOK,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/roadrunner-phase-ii
Roadrunner Phase III,Natural Gas,Q4 2019,ONEOK,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/roadrunner-phase-iii
Rose Lake,Natural Gas,Q4 2014,Tennessee Gas,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/rose-lake
Rover Pipeline Phase I,Natural Gas,Q4 2017,Energy Transfer,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/rover-pipeline-phase-i
Rover Pipeline Phase II,Natural Gas,Q1 2018,Energy Transfer,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/rover-pipeline-phase-ii
Sabal Trail Transmission,Natural Gas,Q2 2017,Enbridge,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/sabal-trail-transmission
Saguaro Connector,Natural Gas,Q4 2026,ONEOK,New Build,Development,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/saguaro-connector
Southeast Mainline Reversal,Natural Gas,Q4 2015,ANR Pipeline Company,Reversal,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/southeast-mainline-reversal
Southwest Louisiana Supply Project,Natural Gas,Q1 2018,Tennessee Gas,Reversal,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/southwest-louisiana-supply-project
Sunbury,Natural Gas,Q1 2017,UGI Energy Services,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/sunbury
TETCO Gulf Markets Expansion- Phase I,Natural Gas,Q4 2016,Enbridge,Reversal,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/tetco-gulf-markets-expansion-phase-i
TETCO OPEN Project,Natural Gas,Q4 2015,Enbridge,Reversal,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/tetco-open-project
TETCO Team 2014,Natural Gas,Q3 2014,Enbridge,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/tetco-team-2014
Texas to Louisiana Energy Pathway,Natural Gas,Q4 2025,Williams,,Development,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/texas-louisiana-energy-pathway
TransCameron,Natural Gas,Q4 2022,Venture Global,New Build,Under Construction,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/transcameron
Transco Texas to LA Energy Pathway,Natural Gas,,Williams,,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/transco-texas-la-energy-pathway
Trans-Pecos,Natural Gas,Q1 2017,Energy Transfer,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/trans-pecos
Trunkline Reversal,Natural Gas,Q2 2017,Energy Transfer,Reversal,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/trunkline-reversal
Utica Access,Natural Gas,Q4 2016,Columbia Pipeline Group/TC Energy,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/utica-access
Utica Backhaul Transportation,Natural Gas,Q2 2014,Kinder Morgan,,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/utica-backhaul-transportation
Valley Crossing,Natural Gas,Q4 2018,Enbridge,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/valley-crossing
Whistler Pipeline,Natural Gas,Q4 2026,MPLX/WWM/Stonepeak/WTG,New Build,Development,https://rbnenergy.com/analytics/maps/midi/ng-pipelines/whistler-pipeline
ACE Pipeline,Crude Oil,Q4 2020,Harvest Midstream,New Build,Cancelled,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/ace-pipeline
Alberta Clipper Expansion Phase II,Crude Oil,Q3 2015,Enbridge,,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/alberta-clipper-expansion-phase-ii
Bayou Bridge,Crude Oil,Q1 2016,Energy Transfer,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/bayou-bridge
Bayou Bridge Pipeline Extension,Crude Oil,Q1 2019,Energy Transfer,Extension,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/bayou-bridge-pipeline-extension
BridgeTex Expansion,Crude Oil,Q1 2019,ONEOK,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/bridgetex-expansion
Cactus,Crude Oil,Q2 2015,Plains All American,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/cactus
Cactus Expansion,Crude Oil,Q4 2017,Plains All American,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/cactus-expansion
Cactus II,Crude Oil,Q3 2019,Plains All American,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/cactus-ii
Caddo,Crude Oil,Q4 2016,Plains All American,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/caddo
Capline Reversal - Heavy Crude,Crude Oil,Q1 2022,Marathon,Reversal,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/capline-reversal-heavy-crude
Capline Reversal - Light Crude,Crude Oil,Q3 2020,Marathon,Reversal,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/capline-reversal-light-crude
Cushing MarketLink Houston Lateral,Crude Oil,Q2 2017,TC Energy,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/cushing-marketlink-houston-lateral
Dakota Access (DAPL),Crude Oil,Q2 2017,Energy Transfer,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/dakota-access-dapl
Delaware Basin Extension,Crude Oil,Q2 2016,Energy Transfer,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/delaware-basin-extension
Diamond,Crude Oil,Q4 2017,Plains All American,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/diamond
Diamond Expansion,Crude Oil,Q3 2020,Plains All American,Expansion,Cancelled,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/diamond-expansion
Enbridge- Line 3 Replacement,Crude Oil,Q4 2021,Enbridge,replacement,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/enbridge-line-3-replacement
Energy East,Crude Oil,Q4 2020,TC Energy,Combination,Cancelled,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/energy-east
Energy Transfer Crude Oil Pipeline (ETCOP),Crude Oil,Q2 2017,Energy Transfer,Combination,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/energy-transfer-crude-oil-pipeline-etcop
EPIC Pipeline,Crude Oil,Q3 2019,EPIC Midstream,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/epic-pipeline
Equality,Crude Oil,Q3 2020,Bridger Pipeline,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/equality
Freedom,Crude Oil,Q4 2018,Kinder Morgan,Conversion,Cancelled,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/freedom
Grand Mesa,Crude Oil,Q4 2016,NGL Energy Partners,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/grand-mesa
Grand Rapids Northbound,Crude Oil,Q2 2017,TC Energy,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/grand-rapids-northbound
Grand Rapids Southbound,Crude Oil,Q2 2017,TC Energy,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/grand-rapids-southbound
Gray Oak,Crude Oil,Q1 2020,Enbridge,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/gray-oak
HoustonLink,Crude Oil,Q4 2016,ONEOK,,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/houstonlink
Inland California Express,Crude Oil,Q4 2017,Questar,Reactivation,Cancelled,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/inland-california-express
Jupiter Crude Pipeline,Crude Oil,Q4 2020,JupiterMLP,New Build,Cancelled,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/jupiter-crude-pipeline
Keystone XL,Crude Oil,Q4 2023,TC Energy,New Build,Cancelled,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/keystone-xl
Knight Warrior,Crude Oil,,Blueknight Energy Partners,New Build,Cancelled,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/knight-warrior
Liberty,Crude Oil,Q2 2021,Phillips 66,,Cancelled,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/liberty
Midland to ECHO I,Crude Oil,Q3 2020,Enterprise Products Partners,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/midland-echo-i
Midland to ECHO II,Crude Oil,Q1 2019,Enterprise Products Partners,,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/midland-echo-ii
Midland to ECHO III,Crude Oil,Q3 2020,Enterprise Products Partners,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/midland-echo-iii
Midland to ECHO IV,Crude Oil,Q2 2021,Enterprise Products Partners,Expansion,Cancelled,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/midland-echo-iv
Minnesota Pipeline Reliability Project,Crude Oil,,Koch Pipeline,,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/minnesota-pipeline-reliability-project
Northern Gateway Eastbound,Crude Oil,Q4 2018,Enbridge,New Build,Cancelled,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/northern-gateway-eastbound
Northern Gateway Westbound,Crude Oil,Q4 2018,Enbridge,New Build,Cancelled,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/northern-gateway-westbound
Permian Express II,Crude Oil,Q3 2015,Energy Transfer,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/permian-express-ii
Permian Express III,Crude Oil,Q3 2018,Energy Transfer,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/permian-express-iii
Permian Express IV,Crude Oil,Q3 2019,Energy Transfer,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/permian-express-iv
Permian Longview and Louisiana Extension (PELA),Crude Oil,Q2 2016,Energy Transfer,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/permian-longview-and-louisiana-extension-pela
Platte Twin (Guernsey to Patoka),Crude Oil,Q4 2017,Enbridge,New Build,Cancelled,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/platte-twin-guernsey-patoka
Pony Express Northeast CO Lateral,Crude Oil,Q2 2015,Tallgrass Energy,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/pony-express-northeast-co-lateral
Rancho II,Crude Oil,Q3 2015,Enterprise Products Partners,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/rancho-ii
Red Oak,Crude Oil,Q2 2021,Phillips 66,New Build,Cancelled,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/red-oak
Red River Expansion,Crude Oil,Q2 2020,Plains All American,,do_not_use,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/red-river-expansion
RIO,Crude Oil,Q2 2016,Rangeland,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/rio
Saddlehorn,Crude Oil,Q2 2016,ONEOK,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/saddlehorn
Sandpiper,Crude Oil,Q1 2019,Enbridge,New Build,Cancelled,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/sandpiper
Seahorse Pipeline,Crude Oil,Q3 2021,Tallgrass Energy,New Build,Cancelled,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/seahorse-pipeline
South Bend Line,Crude Oil,Q2 2021,Bridger Pipeline,,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/south-bend-line
South Texas Gateway,Crude Oil,Q2 2020,Buckeye Partners,New Build,Cancelled,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/south-texas-gateway
Southern Access Extension (SAX),Crude Oil,Q2 2016,Enbridge,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/southern-access-extension-sax
Ted Collins Link,Crude Oil,Q4 2021,Energy Transfer,Combination,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/ted-collins-link
Trans Mountain Expansion,Crude Oil,Q4 2020,Canadian Government,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/trans-mountain-expansion
Westward Ho,Crude Oil,Q4 2017,Shell Midstream,New Build,Cancelled,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/westward-ho
White Cliffs Expansion,Crude Oil,Q4 2015,Energy Transfer,Expansion,do_not_use,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/white-cliffs-expansion
Wink to Webster,Crude Oil,Q4 2021,ExxonMobil,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/crude-oil-pipelines/wink-webster
Aegis Phase I,NGLs,Q3 2014,Enterprise Products Partners,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/aegis-phase-i
Aegis Phase II,NGLs,Q3 2015,Enterprise Products Partners,Extension,Operational,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/aegis-phase-ii
Aegis Phase III,NGLs,Q4 2015,Enterprise Products Partners,Extension,Operational,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/aegis-phase-iii
Arbuckle II,NGLs,Q1 2020,ONEOK,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/arbuckle-ii
BANGL- Orla to Benedum,NGLs,Q4 2025,BANGL,,Development,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/bangl-orla-benedum
Bluestem,NGLs,Q1 2021,Williams/Targa JV,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/bluestem
Cornerstone,NGLs,Q4 2016,MPLX,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/cornerstone
Daytona,NGLs,Q3 2024,Targa Resources,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/daytona
Double H- Crude to NGL Conversion,NGLs,Q1 2026,Kinder Morgan,Conversion,Development,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/double-h-crude-ngl-conversion
Elk Creek NGL,NGLs,Q4 2019,ONEOK,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/elk-creek-ngl
EPIC NGL,NGLs,Q3 2020,EPIC,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/epic-ngl
Front Range Expansion,NGLs,Q1 2020,Enterprise Products Partners,,Operational,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/front-range-expansion
Grand Prix,NGLs,Q2 2019,Targa Resources,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/grand-prix
Lone Star Express Expansion,NGLs,Q3 2020,Energy Transfer,Expansion,do_not_use,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/lone-star-express-expansion
Lone Star NGL Express,NGLs,Q2 2016,Energy Transfer,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/lone-star-ngl-express
Lonestar Express Pipeline-Expansion 2026,NGLs,Q4 2026,Energy Transfer,Expansion,Development,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/lonestar-express-pipeline-expansion-2026
Mariner East 2,NGLs,Q2 2018,Energy Transfer,Expansion,Operational,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/mariner-east-2
Mariner East 2 Expansion,NGLs,,Energy Transfer,Combination,Operational,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/mariner-east-2-expansion
Mont Belvieu-to-Corpus Christi,NGLs,Q3 2015,Sunoco,Reactivation,idle,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/mont-belvieu-corpus-christi
Sand Hills Expansion,NGLs,Q1 2018,Phillips 66 (DCP),Expansion,do_not_use,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/sand-hills-expansion
Shin Oak NGL,NGLs,Q2 2019,Enterprise Products Partners,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/shin-oak-ngl
Sterling III expansion,NGLs,Q4 2018,ONEOK,,do_not_use,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/sterling-iii-expansion
Texas Express Expansion,NGLs,Q1 2020,Enterprise Products Partners (Enbridge/WGP/DCP),,do_not_use,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/texas-express-expansion
Thunder Creek NGL Pipeline,NGLs,Q1 2014,Western Midstream,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/thunder-creek-ngl-pipeline
Tioga Lateral,NGLs,Q4 2020,ONEOK,New Build,Operational,https://rbnenergy.com/analytics/maps/midi/ngl-pipelines/tioga-lateral
